MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2192440,CLOSED,202 Harbor Haven Drive,Apex,27502,6/28/2018,West Haven Townhomes,"1,058",2007,2,2,1,Attached,"$169,000.00","$163,000.00",2,Yes,0,0-.25 Acres,0.96
2173092,CLOSED,119 Halsmer Court,Apex,27502,3/15/2018,Heatherwood Townhomes,"1,275",1988,2,2,1,Attached,"$164,900.00","$164,900.00",0,Yes,0,0-.25 Acres,1.00
2264913,CLOSED,323 Port Haven Drive,Apex,27502,9/3/2019,West Haven Townhomes,"1,062",2007,2,1,1,Attached,"$170,900.00","$165,000.00",21,Yes,0,0-.25 Acres,0.97
2169851,CLOSED,315 Port Haven Drive,Apex,27502,4/6/2018,West Haven Townhomes,"1,056",2007,2,2,1,Attached,"$172,900.00","$166,000.00",36,Yes,0,0-.25 Acres,0.96
2280642,CLOSED,306 Port Haven Drive,Apex,27502,10/31/2019,West Haven Townhomes,"1,056",2007,2,1,1,Attached,"$169,900.00","$169,900.00",2,Yes,0,0-.25 Acres,1.00
2181899,CLOSED,327 Port Haven Drive,Apex,27502-4707,5/18/2018,West Haven Townhomes,"1,320",2007,2,2,1,Attached,"$175,000.00","$173,000.00",2,,0,0-.25 Acres,0.99
2167301,CLOSED,146 Anterbury Drive,Apex,27502,2/15/2018,Bradley Terrace,"1,456",2005,3,2,1,Attached,"$175,000.00","$175,000.00",2,,0,0-.25 Acres,1.00
2174776,CLOSED,109 Harbor Haven Drive,Apex,27502,4/10/2018,Westhaven,"1,082",2002,2,1,1,Attached,"$169,000.00","$175,300.00",2,Yes,0,0-.25 Acres,1.04
2175902,CLOSED,117 Shelter Haven Drive,Apex,27502,4/6/2018,West Haven Townhomes,"1,323",2007,3,2,1,Attached,"$174,900.00","$176,000.00",1,Yes,0,0-.25 Acres,1.01
2181717,CLOSED,121 Shelter Haven Drive,Apex,27539,3/29/2018,West Haven Townhomes,"1,367",2007,2,2,1,Attached,"$180,000.00","$176,200.00",15,,0,0-.25 Acres,0.98
2240707,CLOSED,136 Old Grove Lane,Apex,27502,3/7/2019,The Groves,"1,339",2005,2,2,1,Attached,"$180,000.00","$180,000.00",0,Yes,0,0-.25 Acres,1.00
2192630,CLOSED,137 Licorice Drive,Apex,27502,6/25/2018,Townes At Sugarland,"1,385",2000,3,2,1,Attached,"$175,000.00","$183,000.00",3,Yes,0,0-.25 Acres,1.05
2317518,CLOSED,109 Harbor Haven Drive,Apex,27502,6/18/2020,West Haven Townhomes,"1,086",2002,2,1,1,Attached,"$179,000.00","$183,000.00",3,Yes,0,0-.25 Acres,1.02
2172219,CLOSED,131 Anterbury Drive,Apex,27502,3/14/2018,Bradley Terrace,"1,473",2005,3,2,1,Attached,"$179,900.00","$183,000.00",1,Yes,0,0-.25 Acres,1.02
2257127,CLOSED,105 Harbor Haven Drive,Apex,27502,7/17/2019,West Haven Townhomes,"1,328",2002,3,2,1,Attached,"$190,000.00","$185,000.00",4,,0,0-.25 Acres,0.97
2164779,CLOSED,116 Eldon Lane,Apex,27502,1/17/2018,Bradley Terrace,"1,676",2004,3,2,1,Attached,"$185,000.00","$185,000.00",1,Yes,0,0-.25 Acres,1.00
2175215,CLOSED,114 Eldon Lane,Apex,27502,3/29/2018,Bradley Terrace,"1,452",2004,3,2,1,Attached,"$180,000.00","$185,000.00",1,Yes,0,0-.25 Acres,1.03
2215057,CLOSED,108 Harbor Haven Drive,Apex,27502,11/13/2018,West Haven Townhomes,"1,165",2003,2,2,1,Attached,"$179,000.00","$185,000.00",4,Yes,0,0-.25 Acres,1.03
2207955,CLOSED,113 Shelter Haven Drive,Apex,27502-4789,9/4/2018,West Haven Townhomes,"1,383",2007,3,2,1,Attached,"$181,900.00","$185,000.00",1,Yes,0,0-.25 Acres,1.02
2196591,CLOSED,106 Eldon Lane,Apex,27502,6/25/2018,Bradley Terrace,"1,470",2004,3,2,1,Attached,"$180,000.00","$185,000.00",0,Yes,0,0-.25 Acres,1.03
2263863,CLOSED,715 Center Street,Apex,27502,8/15/2019,Center Heights,"1,069",1997,2,2,0,Attached,"$190,000.00","$187,000.00",5,Yes,0,0-.25 Acres,0.98
2228453,CLOSED,104 Shelter Haven Drive,Apex,27502,1/31/2019,West Haven Townhomes,"1,315",2007,3,2,1,Attached,"$189,900.00","$187,500.00",3,Yes,0,0-.25 Acres,0.99
2186177,CLOSED,134 Forthview Way,Apex,27502,5/14/2018,Bradley Terrace,"1,475",2005,3,2,1,Attached,"$188,000.00","$188,000.00",0,,0,0-.25 Acres,1.00
2276186,CLOSED,321 Port Haven Drive,Apex,27502,10/4/2019,West Haven Townhomes,"1,328",2007,3,2,1,Attached,"$185,000.00","$188,000.00",2,Yes,0,0-.25 Acres,1.02
2315811,CLOSED,3006 Silky Dogwood Trail,Apex,27502,5/20/2020,Dogwood Ridge,"1,050",1998,2,2,0,Attached,"$186,000.00","$188,000.00",0,Yes,0,0-.25 Acres,1.01
2322197,CLOSED,119 Shelter Haven Drive,Apex,27502,6/26/2020,West Haven Townhomes,"1,098",2007,2,2,1,Attached,"$185,000.00","$189,000.00",2,Yes,0,0-.25 Acres,1.02
2235438,CLOSED,106 Sanair Court,Apex,27502,2/22/2019,Heatherwood Townhomes,"1,133",1987,2,2,0,Attached,"$199,000.00","$189,000.00",6,Yes,0,0-.25 Acres,0.95
2194312,CLOSED,707 Knightsborough Way,Apex,27502,7/20/2018,Haddon Hall,"1,564",2000,2,2,1,Attached,"$200,000.00","$190,000.00",10,,0,0-.25 Acres,0.95
2205925,CLOSED,1133 Bungalow Park Drive,Apex,27502,8/22/2018,Scotts Mill at Bungalow Park,"1,344",2002,2,2,1,Attached,"$195,000.00","$190,000.00",7,Yes,0,0-.25 Acres,0.97
2203418,CLOSED,308 Port Haven Drive,Apex,27502-4706,8/15/2018,West Haven Townhomes,"1,328",2007,3,2,1,Attached,"$192,000.00","$190,000.00",3,,0,0-.25 Acres,0.99
2167339,CLOSED,158 Forthview Way,Apex,27502-4702,2/2/2018,Bradley Terrace,"1,555",2005,3,2,1,Attached,"$182,500.00","$190,000.00",4,Yes,0,0-.25 Acres,1.04
2196815,CLOSED,134 Sanair Court,Apex,27502,7/20/2018,Heatherwood Townhomes,"1,275",1988,2,2,1,Attached,"$195,000.00","$190,800.00",6,Yes,0,0-.25 Acres,0.98
2191016,CLOSED,137 Anterbury Drive,Apex,27502,6/13/2018,Bradley Terrace,"1,502",2006,3,2,1,Attached,"$180,000.00","$191,000.00",2,Yes,0,0-.25 Acres,1.06
2208147,CLOSED,1204 Nottinghill Walk,Apex,27502,9/4/2018,Haddon Hall,"1,444",2000,2,2,1,Attached,"$180,000.00","$191,600.00",4,Yes,0,0-.25 Acres,1.06
2228653,CLOSED,705 Knightsborough Way,Apex,27502,2/15/2019,Golders Green,"1,425",1999,2,2,1,Attached,"$195,000.00","$192,000.00",48,Yes,0,0-.25 Acres,0.98
2215353,CLOSED,154 Forthview Way,Apex,27502,10/15/2018,Bradley Terrace,"1,440",2005,3,2,1,Attached,"$190,000.00","$192,500.00",3,Yes,0,0-.25 Acres,1.01
2174439,CLOSED,1005 Bungalow Park Drive,Apex,27502,3/27/2018,Scotts Mill at Bungalow Park,"1,363",2006,2,2,1,Attached,"$191,000.00","$193,000.00",2,Yes,0,0-.25 Acres,1.01
2342661,CLOSED,216 Harbor Haven Drive,Apex,27502,10/28/2020,West Haven Townhomes,"1,106",2007,2,2,1,Attached,"$190,000.00","$193,000.00",4,Yes,0,0-.25 Acres,1.02
2227824,CLOSED,142 Forthview Way,Apex,27502,1/11/2019,Bradley Terrace,"1,441",2005,3,2,1,Attached,"$194,000.00","$195,000.00",2,Yes,0,0-.25 Acres,1.01
2170882,CLOSED,213 Presenteer Trail,Apex,27539,3/15/2018,Miramonte,"1,510",2008,2,2,1,Attached,"$193,500.00","$195,000.00",3,Yes,1,0-.25 Acres,1.01
2164759,CLOSED,108 Watertree Lane,Apex,27502,3/22/2018,Carriage Downs,"1,472",2001,3,2,1,Attached,"$189,900.00","$195,000.00",8,,0,0-.25 Acres,1.03
2164368,CLOSED,758 Wickham Ridge Road,Apex,27539,2/2/2018,Pemberley,"1,486",2012,2,2,1,Attached,"$195,000.00","$195,000.00",17,Yes,0,0-.25 Acres,1.00
2164617,CLOSED,543 Village Loop Drive,Apex,27502,1/10/2018,Green at Scotts Mill,"1,404",2004,3,2,1,Attached,"$192,500.00","$195,000.00",2,Yes,0,0-.25 Acres,1.01
2180339,CLOSED,1119 Bungalow Park Drive,Apex,27502,5/4/2018,Scotts Mill at Bungalow Park,"1,334",2004,2,2,1,Attached,"$194,999.00","$195,000.00",4,Yes,0,0-.25 Acres,1.00
