,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,State,Lat,Lng,Full_Address
0,2192440,CLOSED,202 Harbor Haven Drive,Apex,27502,6/28/2018,West Haven Townhomes,"1,058",2007,2,2,1,Attached,"$169,000.00","$163,000.00",2,Yes,0,0-.25 Acres,0.96,NC,35.7185429,-78.857486,"202 Harbor Haven Drive,Apex,NC,27502"
1,2173092,CLOSED,119 Halsmer Court,Apex,27502,3/15/2018,Heatherwood Townhomes,"1,275",1988,2,2,1,Attached,"$164,900.00","$164,900.00",0,Yes,0,0-.25 Acres,1.0,NC,35.737514,-78.83275990000001,"119 Halsmer Court,Apex,NC,27502"
2,2264913,CLOSED,323 Port Haven Drive,Apex,27502,9/3/2019,West Haven Townhomes,"1,062",2007,2,1,1,Attached,"$170,900.00","$165,000.00",21,Yes,0,0-.25 Acres,0.97,NC,35.7165586,-78.8582916,"323 Port Haven Drive,Apex,NC,27502"
3,2169851,CLOSED,315 Port Haven Drive,Apex,27502,4/6/2018,West Haven Townhomes,"1,056",2007,2,2,1,Attached,"$172,900.00","$166,000.00",36,Yes,0,0-.25 Acres,0.96,NC,35.716713,-78.85797199999999,"315 Port Haven Drive,Apex,NC,27502"
4,2280642,CLOSED,306 Port Haven Drive,Apex,27502,10/31/2019,West Haven Townhomes,"1,056",2007,2,1,1,Attached,"$169,900.00","$169,900.00",2,Yes,0,0-.25 Acres,1.0,NC,35.717259,-78.858094,"306 Port Haven Drive,Apex,NC,27502"
5,2181899,CLOSED,327 Port Haven Drive,Apex,27502-4707,5/18/2018,West Haven Townhomes,"1,320",2007,2,2,1,Attached,"$175,000.00","$173,000.00",2,,0,0-.25 Acres,0.99,NC,35.7165384,-78.8584132,"327 Port Haven Drive,Apex,NC,27502-4707"
6,2167301,CLOSED,146 Anterbury Drive,Apex,27502,2/15/2018,Bradley Terrace,"1,456",2005,3,2,1,Attached,"$175,000.00","$175,000.00",2,,0,0-.25 Acres,1.0,NC,35.7148818,-78.85815889999999,"146 Anterbury Drive,Apex,NC,27502"
7,2174776,CLOSED,109 Harbor Haven Drive,Apex,27502,4/10/2018,Westhaven,"1,082",2002,2,1,1,Attached,"$169,000.00","$175,300.00",2,Yes,0,0-.25 Acres,1.04,NC,35.718152,-78.85696200000001,"109 Harbor Haven Drive,Apex,NC,27502"
8,2175902,CLOSED,117 Shelter Haven Drive,Apex,27502,4/6/2018,West Haven Townhomes,"1,323",2007,3,2,1,Attached,"$174,900.00","$176,000.00",1,Yes,0,0-.25 Acres,1.01,NC,35.7175579,-78.85713299999999,"117 Shelter Haven Drive,Apex,NC,27502"
9,2181717,CLOSED,121 Shelter Haven Drive,Apex,27539,3/29/2018,West Haven Townhomes,"1,367",2007,2,2,1,Attached,"$180,000.00","$176,200.00",15,,0,0-.25 Acres,0.98,NC,35.717522,-78.857264,"121 Shelter Haven Drive,Apex,NC,27539"
