MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2307699,CLOSED,472 NC 751 Highway,Apex,27523,9/28/2020,Not in a Subdivision,"1,480",1989,2,2,0,Detached,"$150,000.00",$1.00,111,,0,1-2.9 Acres,0.00
2198042,CLOSED,5520 Bobbitt Road,Apex,27539,8/29/2018,Not in a Subdivision,640,1962,2,0,0,Detached,"$59,000.00","$59,000.00",62,,0,0-.25 Acres,1.00
2177583,CLOSED,5524 Bobbitt Road,Apex,27539,5/9/2018,Not in a Subdivision,"1,083",1953,2,1,0,Detached,"$75,000.00","$92,000.00",2,No,0,.51-.75 Acres,1.23
2194561,CLOSED,106 N Bellhaven Drive,Apex,27539,7/6/2018,Not in a Subdivision,"1,344",1997,3,2,0,Detached,"$84,500.00","$100,000.00",16,No,1,.26-.5 Acres,1.18
2197718,CLOSED,8325 Rhodes Road,Apex,27603,9/27/2018,Washington Homes,480,1960,2,1,0,Detached,"$109,500.00","$105,000.00",49,,0,1-2.9 Acres,0.96
2228236,CLOSED,304 S Hughes Street,Apex,27502,1/8/2019,Not in a Subdivision,964,1948,1,1,0,Detached,"$105,000.00","$105,000.00",0,,0,0-.25 Acres,1.00
2217507,CLOSED,2700 Optimist Farm Road,Apex,27539-8605,1/18/2019,Not in a Subdivision,"1,143",1910,2,1,0,Detached,"$125,000.00","$110,000.00",38,No,0,1-2.9 Acres,0.88
2262785,CLOSED,410 Second Street,Apex,27502,7/30/2019,Not in a Subdivision,589,1970,2,1,0,Detached,"$120,000.00","$113,000.00",6,No,0,0-.25 Acres,0.94
2285562,CLOSED,201 West Street,Apex,27502,11/22/2019,Not in a Subdivision,"1,461",1947,2,1,0,Detached,"$124,900.00","$115,000.00",14,,0,0-.25 Acres,0.92
2294449,CLOSED,5112 Sunset Lake Road,Apex,27539,1/24/2020,Not in a Subdivision,"1,540",1960,3,2,0,Detached,"$125,000.00","$117,000.00",8,,0,.51-.75 Acres,0.94
2178551,CLOSED,5807 Old Smithfield Road,Apex,27539,5/11/2018,Sunset Park,780,1957,2,1,0,Detached,"$129,000.00","$129,000.00",0,,0,0-.25 Acres,1.00
2301024,CLOSED,5525 Bobbitt Road,Apex,27539-7288,5/7/2020,Not in a Subdivision,665,1964,2,1,0,Detached,"$150,000.00","$137,500.00",18,,0,.51-.75 Acres,0.92
2165689,CLOSED,8724 Stephenson Road,Apex,27539,1/19/2018,Saponi Hills,"1,008",1983,3,1,1,Detached,"$140,000.00","$140,000.00",4,,2,.51-.75 Acres,1.00
2188347,CLOSED,204 West Street,Apex,27502,6/7/2018,Not in a Subdivision,"1,010",1935,3,1,0,Detached,"$147,500.00","$145,000.00",3,No,0,0-.25 Acres,0.98
2313621,CLOSED,419 Second Street,Apex,27502-2045,7/27/2020,Not in a Subdivision,610,1962,2,1,0,Detached,"$125,000.00","$145,282.00",52,,0,.26-.5 Acres,1.16
2264899,CLOSED,113 West Street,Apex,27502-2054,7/19/2019,Not in a Subdivision,"1,125",1948,3,2,0,Detached,"$145,000.00","$147,000.00",1,,0,0-.25 Acres,1.01
2275143,CLOSED,419 Ashley Road,Apex,27539,10/16/2019,Fairview Woods,"1,870",1999,3,2,1,Detached,"$138,000.00","$153,000.00",18,No,0,.76-.99 Acres,1.11
2173757,CLOSED,2760 Brantley Drive,Apex,27539,3/20/2018,Belmont Estates,"1,009",1980,3,1,1,Detached,"$145,000.00","$155,000.00",2,,0,.51-.75 Acres,1.07
2224878,CLOSED,2737 Brantley Drive,Apex,27539-9707,12/17/2018,Belmont Estates,"1,421",1981,3,1,1,Detached,"$165,000.00","$160,000.00",3,,1,.51-.75 Acres,0.97
2165275,CLOSED,8000 Baybark Circle,Apex,27539,2/1/2018,Bayfield Run,"1,000",1991,3,1,0,Detached,"$155,000.00","$160,000.00",7,No,0,.51-.75 Acres,1.03
2179346,CLOSED,3033 Evans Road,Apex,27502,3/29/2018,Not in a Subdivision,"1,456",1960,3,1,1,Detached,"$164,000.00","$163,725.00",0,No,1,.26-.5 Acres,1.00
2237534,CLOSED,625 Tingen Road,Apex,27502,4/23/2019,Not in a Subdivision,984,1960,2,1,0,Detached,"$165,000.00","$165,000.00",5,No,0,1-2.9 Acres,1.00
2168908,CLOSED,1521 Salem Church Road,Apex,27523,6/29/2018,Not in a Subdivision,"1,372",1881,2,1,0,Detached,"$179,990.00","$170,000.00",4,No,0,1-2.9 Acres,0.94
2311101,CLOSED,2624 Brad Court,Apex,27539-9739,6/9/2020,Belmont Estates,"1,006",1980,3,1,0,Detached,"$175,000.00","$172,000.00",13,,0,.51-.75 Acres,0.98
2315864,CLOSED,2224 E Williams Street,Apex,27539,9/29/2020,Feldersville,912,1972,3,1,0,Detached,"$175,000.00","$175,000.00",16,,0,.26-.5 Acres,1.00
