MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
2215848,CLOSED,2612 Sheffield Street,Apex,27539,11/29/2018,Chari Heights,987,1990,3,1,0,Detached,182500.0,182500.0,21,No,0,.51-.75 Acres,1.0,39
2164933,CLOSED,4016 Cross Timber Lane,Apex,27539,9/21/2018,Blaney Farms,2678,2018,4,3,0,Detached,432000.0,432000.0,0,Yes,2,0-.25 Acres,1.0,16
2187354,CLOSED,2413 Canoe Creek Lane,Apex,27523,10/3/2018,Crestmont,4337,2018,5,5,1,Detached,655321.0,655321.0,0,Yes,3,0-.25 Acres,1.0,51
2339929,CLOSED,901 Scotts Ridge Trail,Apex,27502,9/28/2020,Scotts Mill,2067,2000,4,2,1,Detached,349900.0,361018.0,2,,1,0-.25 Acres,1.03,196
2222250,CLOSED,1988 Bald Head Island Drive,Apex,27502,1/31/2019,Bella Casa,2348,2015,4,3,0,Detached,375000.0,375000.0,46,Yes,2,0-.25 Acres,1.0,11
2181505,CLOSED,217 Grenoch Valley Lane,Apex,27539,5/11/2018,Scots Laurel,3250,2007,4,4,0,Detached,345000.0,345000.0,10,Yes,2,0-.25 Acres,1.0,194
2216464,CLOSED,1495 Barn Door Drive,Apex,27502,6/21/2019,Smith Farm,2141,2019,3,2,1,Detached,342755.0,342755.0,0,Yes,2,0-.25 Acres,1.0,203
2255834,CLOSED,300 Baucom Street,Apex,27502,2/14/2020,Not in a Subdivision,1778,2019,3,2,1,Detached,298600.0,295000.0,0,No,0,0-.25 Acres,0.99,153
2168476,CLOSED,2312 Swansea Lane,Apex,27502,8/31/2018,Chelsea Run,2408,2018,3,2,1,Detached,415000.0,412325.0,0,Yes,2,0-.25 Acres,0.99,41
2290575,CLOSED,2109 Amalfi Place,Apex,27502,11/26/2019,Bella Casa,3201,2019,4,4,1,Detached,734051.0,734051.0,0,Yes,2,0-.25 Acres,1.0,11
2173746,CLOSED,3429 South Pointe Drive,Apex,27539,4/30/2019,Fairview Park,4542,2018,6,5,0,Detached,634700.0,634700.0,0,Yes,3,.26-.5 Acres,1.0,74
2246769,CLOSED,3604 Black Forest Drive,Apex,27539,5/17/2019,Fair Oaks,3886,2002,4,4,0,Detached,550000.0,570000.0,5,Yes,3,.51-.75 Acres,1.04,72
2217711,CLOSED,8127 Blue Needle Lane,Apex,27539,11/19/2018,The Park at Langston,3494,2004,4,3,1,Detached,499900.0,499900.0,4,Yes,3,.26-.5 Acres,1.0,231
2196687,CLOSED,2583 Spurwood Court,Apex,27502,7/19/2018,Stratford at Abbington,3689,2008,5,4,1,Detached,635000.0,635000.0,3,Yes,3,.26-.5 Acres,1.0,213
2319393,CLOSED,318 Pine Nut Lane,Apex,27502-3716,6/30/2020,Scotts Mill,1741,1999,3,2,1,Detached,319900.0,315000.0,18,Yes,1,0-.25 Acres,0.98,196
2207400,CLOSED,2443 Fillmore Hall Lane,Apex,27523,2/7/2019,Crestmont,3453,2018,5,4,0,Detached,545129.0,545129.0,0,Yes,2,0-.25 Acres,1.0,51
2247511,CLOSED,1265 Gloriosa Street,Apex,27523,4/25/2019,Sweetwater,3633,2019,4,4,0,Detached,575530.0,575530.0,0,Yes,2,0-.25 Acres,1.0,227
2345145,CLOSED,400 New Timber Path,Apex,27502,10/30/2020,Hollands Crossing,2000,2000,3,2,1,Detached,330000.0,340000.0,1,,2,0-.25 Acres,1.03,108
2344838,CLOSED,301 Harwood Street,Apex,27502,10/30/2020,Not in a Subdivision,1466,1994,3,2,0,Detached,239000.0,249350.0,2,No,0,0-.25 Acres,1.04,153
2270389,CLOSED,1113 Bexley Hills Bend,Apex,27502,9/16/2019,White Hall,2802,2009,4,3,1,Detached,435000.0,433000.0,15,Yes,2,0-.25 Acres,1.0,259
2323065,CLOSED,2053 Tordelo Place,Apex,27502,9/17/2020,Bella Casa,2389,2013,5,3,0,Detached,399900.0,390000.0,48,Yes,2,0-.25 Acres,0.98,11
2245105,CLOSED,1169 Russet Lane,Apex,27523,3/29/2019,Sweetwater,2076,2019,3,2,1,Detached,360870.0,360870.0,0,Yes,2,0-.25 Acres,1.0,227
2166749,CLOSED,1531 Baxter Ridge Court,Apex,27502,6/21/2018,Rileys Pond,2890,2018,5,3,1,Detached,479700.0,475150.0,0,Yes,2,0-.25 Acres,0.99,179
2339358,CLOSED,1146 Bexley Hills Bend,Apex,27502,10/22/2020,Whitehall Village Reserve,3181,2013,5,3,0,Detached,575000.0,563766.0,6,Yes,2,.26-.5 Acres,0.98,263
2196639,CLOSED,2560 Collection Court,Apex,27562,4/30/2020,Woodbury,2036,2019,3,2,0,Detached,367532.0,380925.0,0,Yes,2,0-.25 Acres,1.04,269
2226839,CLOSED,2922 Macbeth Lane,Apex,27502,4/26/2019,McKenzie Ridge,2588,2019,4,3,0,Detached,384910.0,375000.0,0,Yes,2,0-.25 Acres,0.97,143
2281936,CLOSED,705 Brickstone Drive,Apex,27502-4247,11/1/2019,Greenbrier,1552,2002,3,2,0,Detached,290000.0,290000.0,4,Yes,2,0-.25 Acres,1.0,85
2190464,CLOSED,1141 Tringham Court,Apex,27502,12/20/2018,Abbey Run,3426,2018,5,4,0,Detached,500000.0,500000.0,0,Yes,2,0-.25 Acres,1.0,0
2335303,CLOSED,204 Wedge Porr Court,Apex,27539,9/15/2020,Churchill Estates,4539,2011,5,4,1,Detached,685000.0,680000.0,8,Yes,3,.26-.5 Acres,0.99,42
2261610,CLOSED,102 Chapel Valley Lane,Apex,27502,7/19/2019,Kelly West,1355,2011,3,2,0,Detached,279900.0,280000.0,6,Yes,2,0-.25 Acres,1.0,125
2199081,CLOSED,3616 Sawyers Mill Drive,Apex,27539,7/13/2018,Sawyers Mill,3168,2004,4,2,1,Detached,354000.0,376000.0,2,Yes,2,.26-.5 Acres,1.06,193
2208450,CLOSED,4034 Reunion Creek Parkway,Apex,27539,9/26/2018,Reunion Pointe,2682,2018,5,3,0,Detached,384000.0,379231.0,0,Yes,2,0-.25 Acres,0.99,178
2318141,CLOSED,4200 Huntcliff Court,Apex,27539,6/24/2020,Hallmark,2973,1986,3,3,1,Detached,459900.0,470556.0,2,No,2,.76-.99 Acres,1.02,93
2211640,CLOSED,5324 Moneta Lane,Apex,27539-4154,10/24/2018,The Park At West Lake,2926,2014,4,2,1,Detached,369900.0,367000.0,25,Yes,2,0-.25 Acres,0.99,230
2254187,CLOSED,208 Restonwood Drive,Apex,27539-6247,7/26/2019,Woodcreek,4000,2016,4,3,1,Detached,544000.0,530000.0,37,Yes,3,.26-.5 Acres,0.97,270
2277242,CLOSED,2006 Song Breeze Lane,Apex,27502,3/13/2020,Stillwater,3202,2019,5,4,0,Detached,484990.0,480990.0,0,Yes,2,0-.25 Acres,0.99,210
2173743,CLOSED,3453 South Pointe Drive,Apex,27539,2/28/2019,Fairview Park,2962,2018,4,2,1,Detached,539700.0,539700.0,0,Yes,2,.26-.5 Acres,1.0,74
2327604,CLOSED,3408 Castelaine Circle,Apex,27539,9/1/2020,Brookshire Manor,4201,2017,4,5,0,Detached,665000.0,640000.0,19,Yes,3,1-2.9 Acres,0.96,26
2214685,CLOSED,606 Scotts Ridge Trail,Apex,27502,11/5/2018,Scotts Mill,2350,1999,4,2,1,Detached,389900.0,389900.0,2,Yes,2,0-.25 Acres,1.0,196
2339426,CLOSED,1424 Fairfax Woods Drive,Apex,27502-4170,10/15/2020,Beckett Crossing,3417,2001,4,3,1,Detached,492500.0,503000.0,1,Yes,2,.26-.5 Acres,1.02,10
2241923,CLOSED,3276 Ripley River Road,Apex,27562,6/6/2019,Woodbury,3044,2019,5,4,0,Detached,435900.0,432900.0,0,Yes,2,0-.25 Acres,0.99,269
2250612,CLOSED,1002 Bramhall Court,Apex,27502,6/27/2019,Whitehall Manor,2122,2002,3,2,1,Detached,350000.0,351000.0,6,Yes,2,0-.25 Acres,1.0,262
2180701,CLOSED,3113 Cregler Drive,Apex,27502,4/25/2018,Woodridge,2817,2001,4,3,0,Detached,365000.0,372500.0,1,Yes,2,0-.25 Acres,1.02,272
2192836,CLOSED,1152 St Cloud Loop,Apex,27523,12/6/2018,Woodhall,3056,2018,3,2,1,Detached,529190.0,562640.0,0,Yes,2,.26-.5 Acres,1.06,271
2257153,CLOSED,1332 Gloriosa Street,Apex,27523,9/6/2019,Sweetwater,4198,2018,6,5,1,Detached,718265.0,718265.0,0,Yes,2,0-.25 Acres,1.0,227
