,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
168,2330247,CLOSED,112 Graystar Road,Apex,27502,7/27/2020,Carriage Downs,1425,2005,3,2,1,Attached,220000.0,223000.0,3,Yes,0,0-.25 Acres,1.01,6
510,2210711,CLOSED,1128 Doe Blossom Lane,Apex,27502,3/28/2019,Deer Creek,2025,2019,3,2,1,Attached,279990.0,279990.0,0,Yes,2,0-.25 Acres,1.0,10
1019,2310558,CLOSED,2007 Ackerman Hill Drive,Apex,27502,8/19/2020,Hempstead at Beaver Creek,2436,2017,4,3,1,Attached,314900.0,315000.0,108,Yes,2,0-.25 Acres,1.0,20
106,2163731,CLOSED,1423 Salem Creek Drive,Apex,27502,8/7/2018,Salem Creek Townhomes,1587,2018,2,2,2,Attached,217555.0,213160.0,0,Yes,1,0-.25 Acres,0.98,32
314,2221852,CLOSED,803 Myrtle Grove Lane,Apex,27502,3/4/2019,The Groves,1855,2007,4,2,1,Attached,255000.0,253000.0,80,Yes,0,0-.25 Acres,0.99,42
492,2230948,CLOSED,107 Havelock Court,Apex,27539,2/28/2019,Scots Laurel,2505,2006,3,2,2,Attached,279500.0,277500.0,17,Yes,2,0-.25 Acres,0.99,34
355,2141721,CLOSED,832 New Derby Lane,Apex,27523,2/15/2018,Salem Pointe,1687,2018,3,2,1,Attached,261005.0,261005.0,0,,1,0-.25 Acres,1.0,33
1457,2318932,CLOSED,929 Haybeck Lane,Apex,27523,8/24/2020,Townes at Westford,2760,2020,3,2,1,Attached,379182.0,379182.0,0,Yes,2,0-.25 Acres,1.0,49
1173,2135316,CLOSED,885 Tunisian Drive,Apex,27523,4/17/2018,540 Townes,2510,2017,4,3,1,Attached,327900.0,325400.0,0,,2,0-.25 Acres,0.99,0
1521,2182356,CLOSED,422 Hopwood Way,Apex,27502,10/9/2018,Middleton,3000,2018,4,4,0,Attached,416014.0,416014.0,0,,2,0-.25 Acres,1.0,23
1130,2160669,CLOSED,1161 Little Gem Lane,Apex,27523,8/6/2018,Sweetwater,1785,2018,3,2,1,Attached,323088.0,323088.0,0,Yes,1,0-.25 Acres,1.0,41
822,2310726,CLOSED,562 Grand Central Station,Apex,27502,6/5/2020,The Villages of Apex,2400,2018,3,3,1,Attached,304900.0,301500.0,18,Yes,2,0-.25 Acres,0.99,45
1070,2270076,CLOSED,505 Wayland Grove Drive,Apex,27523,10/22/2019,Wayland Grove,2323,2019,4,2,1,Attached,319990.0,319000.0,0,Yes,2,0-.25 Acres,1.0,51
1490,2247764,CLOSED,1307 Littlehills Drive,Apex,27523,7/11/2019,Middleton,2651,2018,4,3,0,Attached,405000.0,397500.0,57,Yes,2,0-.25 Acres,0.98,23
290,2233149,CLOSED,1067 Branch Line Lane,Apex,27502,10/30/2019,The Villages of Apex,1701,2019,3,2,1,Attached,290175.0,249260.0,0,Yes,2,0-.25 Acres,0.86,45
884,2293712,CLOSED,2857 Dallas Valley Lane,Apex,27502,7/30/2020,Townes at Friendship Station,1806,2019,3,2,1,Attached,305000.0,305000.0,0,Yes,2,0-.25 Acres,1.0,47
1279,2135276,CLOSED,887 Tunisian Drive,Apex,27523,4/20/2018,540 Townes,2245,2017,4,3,1,Attached,325014.0,335319.0,0,,2,0-.25 Acres,1.03,0
299,2283070,CLOSED,102 Gallent Hedge Trail,Apex,27539-6506,11/8/2019,Miramonte,2006,2006,3,3,1,Attached,250000.0,250000.0,1,Yes,1,0-.25 Acres,1.0,24
